source,review_description,rating,review_date
Google Play,"A week ago posting music on my story and on notes was perfectly normal. Normal mainstream songs from people like Doja Cat we're showing up fine like normal, but as of a couple of days ago my music options started to show weird foreign music and songs from artist's I've never seen before which is really irritating and just frustrating. I've tried everything like reinstalling the app and logging out and back into my account and it did nothing. Please fix this.",1,23-09-23 14:18
Google Play,The app is quite good for socializing but it is distracting. It would be really great if there was an option in the settings to turn off the reels viewing as it is quite distracting and mentally draining. It would be really great if one could just come there to be connected and not get distracted by the reels.,5,13-09-23 14:18
Google Play,"I was unable to hear an audio when my friends posted it on their Instagram Feeds. It said 'audio unavailable'. Then, I tried to clear the cache but still, it didn't work out. Next, I updated the app but it didn't change anything. After that, I uninstalled the app and installed it again. The result? Nothing! To make it worse I can't send a comment on anyone's feed. It said that my activity got restricted until 21-09-2023 which is today but up until now, I can't send a comment.",1,03-09-23 14:18
Google Play,Good I like this app,5,23-09-23 0:00
Google Play,Op,5,23-09-23 0:00
Google Play,Nice,5,23-09-23 0:00
Google Play,Nice Super,5,23-09-23 0:00
Google Play,Please give the option to see the viewing time of story…otherwise it is a good app to use or waste the time,3,23-09-23 0:00
Google Play,It's nice for time pass but it's too much addictive also lots of useless reels and idiotic stuffs are shown,4,23-09-23 0:00
Google Play,Not Good App Bcz Network Problem,1,23-09-23 0:00
Google Play,Top,4,23-09-23 0:00
Google Play,Very nice app,5,23-09-23 0:00
Google Play,Nice,5,23-09-23 0:00
Google Play,Some highlights are not sound,4,23-09-23 0:00
Google Play,This is a osm place show our hidden talents and ideas,4,23-09-23 0:00
Google Play,Nice,4,23-09-23 0:00
Google Play,Best app for social networking,5,23-09-23 0:00
Google Play,Aap log jo instragram update karte ho kaisa instagram update karte isko to ban ho jana chahie,5,23-09-23 0:00
Google Play,Why does this app gets so many glitches with each update,5,23-09-23 0:00
Google Play,Its work slow like anything in high ram and high storage mobile also its working like tortoise,1,23-09-23 0:00
Google Play,"APA SII INSTAAAA!!! KENAPA MAKIN DI UPDATE MAKIK GAK JELASSSSS JELEKK LAGIIII, TOLONG DI PERBAIKIN LAGII DONGGG MALASS BGT KAYAK GINIII",2,23-09-23 0:00
Google Play,Trying to create a new account for my business is such a hastle!!!,1,23-09-23 0:00
Google Play,"I cannot input GIF & decorate in my store, please help it now.",1,23-09-23 0:00
Google Play,Plz instagram my instagra id viri tranding instagram,5,23-09-23 0:00
Google Play,Excellent,5,23-09-23 0:00
Google Play,Get alers people have tagged or mentioned me but an only see for 1 or 2 of the mentions and then 910 friend suggestions.,1,23-09-23 0:00
Google Play,because there so gf,5,23-09-23 0:00
Google Play,Lovely,4,23-09-23 0:00
Google Play,"It's A Really Brilliant App But Because Of Recent Update It Is Not Saving Videoes In Gallery By Downloading Option It Says ""Save to Gallery""",5,23-09-23 0:00
Google Play,Kundan and Nivea love,5,23-09-23 0:00
Google Play,fix the no results found and unfamiliar sounds in my ig cuhhh,1,23-09-23 0:00
Google Play,Love this app interesting and entertainment,5,23-09-23 0:00
Google Play,My instagram is no loading and my wifi speed is very good. I can't understan that what the problem with it,1,23-09-23 0:00
Google Play,"What is happening to this app? I send a message to someone but I can't see it, after I go backa and click the chat again then I can see the message.",1,23-09-23 0:00
Google Play,incredible hehehw,5,23-09-23 0:00
Google Play,awesome,5,23-09-23 0:00
Google Play,So many memories are with this app,5,23-09-23 0:00
Google Play,There is something wrong notes are invisible and data is there but I am getting late response from app please check this issue fastly,3,23-09-23 0:00
Google Play,Good I like this app,5,23-09-23 0:00
Google Play,Best app is instagram,5,23-09-23 0:00
Google Play,Followers increase not showing,2,23-09-23 0:00
Google Play,Bahut ghatiya app ha,5,23-09-23 0:00
Google Play,Currently nothing is going well with instagram. Facing lots of bug and glitches Rn. Data saver isn't working. It's uses too much data approx 1gb within 20min if instagram will not fix this freaking thing I had to shift to other platforms,1,23-09-23 0:00
Google Play,great experience,5,23-09-23 0:00
Google Play,"This app has became almost impossible to use and enjoy due to the amount of glitches and bugs. Gallery not loading, music not working, chat is glitching, and everything is a mess.",1,23-09-23 0:00
Google Play,Can't watch a single reel with the app crashing,1,23-09-23 0:00
Google Play,Very nice,4,23-09-23 0:00
Google Play,"Since the last update, nothing is like the old version. I cant react to the message or tag a msg. On top of that I can't upload notes and that's very annoying",4,23-09-23 0:00
Google Play,Just a mere app to brainwash people into believing illogical things. Just stay away from the so-called social media & enjoy ur life indulging in peace & solitude xoxo,1,23-09-23 0:00
Google Play,It's carrier building app,5,23-09-23 0:00
Google Play,Only mb used but I'm so happy because Instagram used to me,1,23-09-23 0:00
Google Play,Earlier this application was fine but now it has become usesless,5,23-09-23 0:00
Google Play,fully loaded with bugs,1,23-09-23 0:00
Google Play,Wp,2,23-09-23 0:00
Google Play,I don't know I am not saying any wrong words I am not abusing anyone after all that my comment is reported as spam yesterday I was comment on five different reel and found 3 spam comments of my own comments and today I commented 6 and found 5 comments gone as spam i have this too much daily my comments are gone as spam and I am unable to comment until 24 hours and I even not abuse not giving any wrong decision after all that way,1,23-09-23 0:00
Google Play,Koi ladki to set na ho ti,5,23-09-23 0:00
Google Play,"I have been facing lots of problems in the past 3 days, resolve it asap.Worst community ever",1,23-09-23 0:00
Google Play,Instagram app nhi,4,23-09-23 0:00
Google Play,Gelchodi,5,23-09-23 0:00
Google Play,"Nothing Say,,, its Good,,,",5,23-09-23 0:00
Google Play,I cant open instagram after the latest update,1,23-09-23 0:00
Google Play,"Instagram moree inssues solve it plzz and photo not send solve this issue sir pl,, please",1,23-09-23 0:00
Google Play,"I cant play the update music on my sotry,pot n reel..why??",1,23-09-23 0:00
Google Play,My insta account getting lag and doesn't working properly,1,23-09-23 0:00
Google Play,Hey instagram I am noticing a bug since a week whenver I send send message to someone the message does not seen to see it we have to back on chats and click on the chat again whenever I log in other account a black screen page appear no highlights of any profile is seeing,1,23-09-23 0:00
Google Play,Bahut slow chal rha h,1,23-09-23 0:00
Google Play,Plzz add some nice emoji,2,23-09-23 0:00
Google Play,We are face a problem in Instagram this instagram and before Instagram is very different because we are not watching story perfectly and read message and the function of message unsend is not work,1,23-09-23 0:00
Google Play,Very good app King of land,5,23-09-23 0:00
Google Play,Good experience,5,23-09-23 0:00
Google Play,Llandudno 223e3e,5,23-09-23 0:00
Google Play,Ashoka,5,23-09-23 0:00
Google Play,It's ok but most profiles are private and not many people talk,3,23-09-23 0:00
Google Play,Tell honestly there is a lot of problems in this app from last 2 week I face a lot of problems to find any song for my story I can't find any Punjabi aur Indian song I try everything but no can't do anything and I can't report my problem to heloo center there is also bug and glitches,1,23-09-23 0:00
Google Play,Y o amar e tr regards to the y axis bank uu7u7hpi jl the first time I as wondering if you 4,4,23-09-23 0:00
Google Play,This app is vosora I love app of insta is sexy I love it,5,23-09-23 0:00
Google Play,hindi song merri I'd par nhi aa rahe,1,23-09-23 0:00
Google Play,"Whenever I post my stories with music the app compresses it extremely, to the point at which I'd rather delete it. This does not happen to my friends but to only me. Please fix this",3,23-09-23 0:00
Google Play,He tahole vest,5,23-09-23 0:00
Google Play,Nice,5,23-09-23 0:00
Google Play,the app music feature does not work to add to your stories,1,23-09-23 0:00
Google Play,Best always,5,23-09-23 0:00
Google Play,"Not a great platform to get noticed as an artist, but it's addictive and a good place to find posts from people you like.",4,23-09-23 0:00
Google Play,great experience,1,23-09-23 0:00
Google Play,This is a fun day,5,23-09-23 0:00
Google Play,No telugu songs are available only english songs are being available,1,23-09-23 0:00
Google Play,I cant put Bollywood songs on reels story' post etc after upadted I have also complaint abt this but still not updated,2,23-09-23 0:00
Google Play,Facing a bug from many time my chat is not deleting and massage are notshowing and my favourite song are not showing in insta story and post please solve this bug with update,1,23-09-23 0:00
Google Play,App that I enjoy most!!!!!no OTHER app comes close to Insta,5,23-09-23 0:00
Google Play,999k colour,5,23-09-23 0:00
Google Play,Waste of time and data,1,23-09-23 0:00
Google Play,Tumhare bugs kabhi khatam nhi hone wale,1,23-09-23 0:00
Google Play,Jeetu the gutter and ,5,23-09-23 0:00
Google Play,Good,5,23-09-23 0:00
Google Play,Love,5,23-09-23 0:00
Google Play,Plese add more features,4,23-09-23 0:00
Google Play,Please fix bugs first,1,23-09-23 0:00
Google Play,Instagram is a responsible an intelligent social media platform for all responsibles individual to use,5,23-09-23 0:00
Google Play,"Yes, it is a fantastic app and also very easy to search any of our friends…. I wish these types of WhatsaApp could be install",5,23-09-23 0:00
Google Play,Wistage of Time,1,23-09-23 0:00
Google Play,I can't open the app,1,23-09-23 0:00
Google Play,Tidak ada lakukan komentar spam tapi di anggap spam dan komentar dihapus Instagram,1,23-09-23 0:00
Google Play,Lovely,5,23-09-23 0:00
Google Play,"Unable to download in gallery, it is saved in camera roll",5,23-09-23 0:00
Google Play,Not vey bed,1,23-09-23 0:00
Google Play,Very entertainment aap,5,23-09-23 0:00
Google Play,The new interface is kindaa irritating…captions on pics & way of posts that irritates too….,5,23-09-23 0:00
Google Play,Problem aarhi hain ki chal nhi Raha hai could no feed bata rha hai nett bhut la rha hai,1,23-09-23 0:00
Google Play,Bugsss!,2,23-09-23 0:00
Google Play,I'm facing a issue from a 15-20 days i.e. chats take approximately 1 minute to open and it's doesn't show GIF that send or receive,1,23-09-23 0:00
Google Play,"Now, this update I have faced so many problems in my id that's why I will give only one star",1,23-09-23 0:00
Google Play,Hello Instagram team I don't have add yours option on my Instagram so please provide this option faster as you can,4,23-09-23 0:00
Google Play,"Messages take hell of a time to load… Uploading story is a big task, again takes long time… Very poorly built. Nothing is good in it. Using for time pass. That's it..",1,23-09-23 0:00
Google Play,Osm hai,5,23-09-23 0:00
Google Play,Issue with every update,1,23-09-23 0:00
Google Play,Security level is very low,5,23-09-23 0:00
Google Play,"Very bad performance instagram messages don't unsend, bug problem very bad performance",1,23-09-23 0:00
